Question,Category,Sub-Category,Role,Company,Keywords,0,Type,Tips
Tell me about yourself.,Behavioral,,,,,2,open,Give brief background on who you are. Highlight some relevant experience. Explain why you are here (at the specific interview). 
Describe a major change that occurred in a job that you held. How did you adapt to this change?,Behavioral,Adaptability,,,,3,open,Situation Action Response. Describe the job atmostphere. Talk about the change. Explain your response and how you adapted.
Tell us about a situation in which you had to adjust to changes over which you had no control. How did you handle it?,Behavioral,Adaptability,,,,3,open,Situation  Action Response. Describe the situation. Talk about the change. Explain your response and how you adapted.
Tell us about a time that you had to adapt to a difficult situation.,Behavioral,Adaptability,,,,3,open,Situation  Action Response. Describe the situation. Talk about what you did. Explain the effects of your actions.
What do you do when priorities change quickly? Give one example of when this happened.,Behavioral,Adaptability,,,,3,open,Make sure you are specific in your response. Demonstrate how you are able to adapt to changes.
Describe a project or idea that was implemented primarily because of your efforts. What was your role? What was the outcome?,Behavioral,Ambition,,,,5,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
Describe a time when you made a suggestion to improve the work in your organization.,Behavioral,Ambition,,,,5,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
Tell us about a time when you had to go above and beyond the call of duty in order to get a job done.,Behavioral,Ambition,,,,5,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
Give an example of an important goal that you set in the past. Tell about your success in reaching it.,Behavioral,Ambition,,,,5,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
Describe the project or situation which best demonstrates your analytical abilities. What was your role?,Behavioral,Analytical Thinking,,,,5,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
Developing and using a detailed procedure is often very important in a job. Tell about a time when you needed to develop and use a detailed procedure to successfully complete a project.,Behavioral,Analytical Thinking,,,,5,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
Give a specific example of a time when you used good judgment and login in solving a problem.,Behavioral,Analytical Thinking,,,,5,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
Give me a specific example of a time when you used good judgment and logic in solving a problem.,Behavioral,Analytical Thinking,,,,5,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
Give a specific example of a time when you had to address an angry customer. What was your role and what was the outcome?,Behavioral,Building Relationships,,,,4,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
Tell us about a time when you built rapport quickly with someone under difficult conditions.,Behavioral,Building Relationships,,,,4,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
"What, in your opinion, are the key ingredients in guiding and maintaining successful business relationships? Give examples of how you made these work for you.",Behavioral,Building Relationships,,,,4,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
Tell me about a time when you were not able to build a successful relationship with a difficult person. ,Behavioral,Building Relationships,,,,4,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
"Describe a situation in which you were able to effectively ""read"" another person and guide your actions by your understanding of their individual needs or values.",Behavioral,Communication,,,,5,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
Describe a situation when you were able to strengthen a relationship by communicating effectively. What made your communication effective?,Behavioral,Communication,,,,5,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
Describe a situation where you felt you had not communicated well. How did you correct the situation?,Behavioral,Communication,,,,5,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.
Describe a time when you were able to effectively communicate a difficult or unpleasant idea to a superior.,Behavioral,Communication,,,,5,open,Situation  Action Reponse. Start with your idea and why you had that idea. Then talk about how you executed the idea. Finally talk about the results.